######## ELECTION INFO ########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo County,113,1,10,1,1-10-2001,,,,,Round 1: 0.085433669272561138,,,AUDITED,BLANK,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,10,4,1-10-2004,Round 1: 0.044230775942022493,,Round 1: 0.044230775942022493,,Round 1: 0.044230775942022493,,,AUDITED,SANDY LUND,SANDY LUND,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,MICHAEL CARRINGTON,MICHAEL CARRINGTON,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,7,1-2-2007,Round 1: 0.001630160711880407,,Round 1: 0.001630160711880407,,Round 1: 0.001630160711880407,,,AUDITED,BLANK,,,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,11,1-2-11,Round 1: 0.004313430603342084,,Round 1: 0.004313430603342084,,"Round 1: 0.004313430603342084, 0.119448935560367256",,,AUDITED,PAUL HUETTE,PAUL HUETTE,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,MICHAEL CARRINGTON,MICHAEL CARRINGTON,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,46,1-2-46,Round 1: 0.004709732814555013,,Round 1: 0.004709732814555013,,Round 1: 0.004709732814555013,,,AUDITED,SANDY LUND,SANDY LUND,,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,MICHAEL CARRINGTON,MICHAEL CARRINGTON,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,48,1-2-48,Round 1: 0.024548825106024155,,Round 1: 0.024548825106024155,,Round 1: 0.024548825106024155,,,AUDITED,SANDY LUND,SANDY LUND,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,MICHAEL CARRINGTON,MICHAEL CARRINGTON,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,49,1-2-49,,,,,Round 1: 0.081866686187609123,,,AUDITED,"SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ","JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,50,1-2-50,,,,,Round 1: 0.133734325737914091,,,AUDITED,SANDY LUND,SANDY LUND,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,KERRY KOONTZ,KERRY KOONTZ,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,74,1-2-74,,,,,Round 1: 0.069233207100428456,,,AUDITED,PAUL HUETTE,PAUL HUETTE,,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,JERI FAYE STOUT,JERI FAYE STOUT,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,75,1-2-75,,,,,Round 1: 0.086310228760045792,,,AUDITED,BLANK,,,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,78,1-2-78,,,,,Round 1: 0.063957087510873127,,,AUDITED,"SANDY LUND, TUSHAR RAMAN OZA, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, TUSHAR RAMAN OZA, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,"CAROL K. OZA, JERI FAYE STOUT, KERRY KOONTZ","CAROL K. OZA, JERI FAYE STOUT, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,86,1-2-86,Round 1: 0.042487112119637947,,Round 1: 0.042487112119637947,,Round 1: 0.042487112119637947,,,AUDITED,"SANDY LUND, PAUL HUETTE, TUSHAR RAMAN OZA","SANDY LUND, PAUL HUETTE, TUSHAR RAMAN OZA",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,"CAROL K. OZA, MICHAEL CARRINGTON, KERRY KOONTZ","CAROL K. OZA, MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,95,1-2-95,,,,,Round 1: 0.098798151107254309,,,AUDITED,"PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY","PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,"MICHAEL CARRINGTON, KERRY KOONTZ","MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,96,1-2-96,,,,,Round 1: 0.090899107962775474,,,AUDITED,"PAUL HUETTE, TUSHAR RAMAN OZA, MICHELLE (SHELLY) A. SNODERLY","PAUL HUETTE, TUSHAR RAMAN OZA, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,"CAROL K. OZA, JERI FAYE STOUT, MICHAEL CARRINGTON","CAROL K. OZA, JERI FAYE STOUT, MICHAEL CARRINGTON",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,114,1-2-0114,,,,,Round 1: 0.072656125490492360,,,AUDITED,"PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY","PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ","JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,121,1-2-0121,Round 1: 0.054222020347666924,,,,Round 1: 0.054222020347666924,,,AUDITED,TUSHAR RAMAN OZA,TUSHAR RAMAN OZA,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,MICHAEL CARRINGTON,MICHAEL CARRINGTON,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,129,1-2-0129,Round 1: 0.005710710408741908,,Round 1: 0.005710710408741908,,Round 1: 0.005710710408741908,,,AUDITED,MICHELLE (SHELLY) A. SNODERLY,MICHELLE (SHELLY) A. SNODERLY,,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,MICHAEL CARRINGTON,MICHAEL CARRINGTON,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,137,1-2-0137,,,,,Round 1: 0.077624555875550895,,,AUDITED,"PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY","PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, KERRY KOONTZ","JERI FAYE STOUT, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,139,1-2-0139,Round 1: 0.038035695235463062,,Round 1: 0.038035695235463062,,Round 1: 0.038035695235463062,,,AUDITED,"SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,"MICHAEL CARRINGTON, KERRY KOONTZ","MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,1,2,144,1-2-0144,,,,,Round 1: 0.127283656211693431,,,AUDITED,PAUL HUETTE,PAUL HUETTE,,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,KERRY KOONTZ,KERRY KOONTZ,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,18,4,2-18-2004,Round 1: 0.059269041749033170,,,,Round 1: 0.059269041749033170,,,AUDITED,"SANDY LUND, TUSHAR RAMAN OZA, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, TUSHAR RAMAN OZA, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ","JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,18,12,2-18-12,,,,,Round 1: 0.118642763146785046,,,AUDITED,BLANK,,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,18,13,2-18-13,,,,,"Round 1: 0.106863354838417097, 0.122547596010414119",,,AUDITED,MICHELLE (SHELLY) A. SNODERLY,MICHELLE (SHELLY) A. SNODERLY,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,JERI FAYE STOUT,JERI FAYE STOUT,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,18,17,2-18-17,Round 1: 0.028544628458437246,,Round 1: 0.028544628458437246,,Round 1: 0.028544628458437246,,,AUDITED,BLANK,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,MICHAEL CARRINGTON,MICHAEL CARRINGTON,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,18,30,2-18-30,,,,,Round 1: 0.100732866760183581,,,AUDITED,SANDY LUND,SANDY LUND,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,KERRY KOONTZ,KERRY KOONTZ,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,18,34,2-18-34,,,,,"Round 1: 0.073940114095282300, 0.097152942486328708",,,AUDITED,"SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ","JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,18,35,2-18-35,Round 1: 0.001725993783046784,,Round 1: 0.001725993783046784,,Round 1: 0.001725993783046784,,,AUDITED,"SANDY LUND, PAUL HUETTE, TUSHAR RAMAN OZA","SANDY LUND, PAUL HUETTE, TUSHAR RAMAN OZA",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,"CAROL K. OZA, JERI FAYE STOUT, MICHAEL CARRINGTON","CAROL K. OZA, JERI FAYE STOUT, MICHAEL CARRINGTON",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,18,40,2-18-40,,,,,Round 1: 0.089530752358540872,,,AUDITED,"SANDY LUND, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, KERRY KOONTZ","JERI FAYE STOUT, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,18,46,2-18-46,Round 1: 0.025926263562941152,,Round 1: 0.025926263562941152,,Round 1: 0.025926263562941152,,,AUDITED,SANDY LUND,SANDY LUND,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,KERRY KOONTZ,KERRY KOONTZ,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,18,51,2-18-51,,,,,Round 1: 0.079175963658137844,,,AUDITED,SANDY LUND,SANDY LUND,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, KERRY KOONTZ","JERI FAYE STOUT, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,18,60,2-18-60,Round 1: 0.047545992164417009,,,,"Round 1: 0.047545992164417009, 0.061812492362316288",,,AUDITED,BLANK,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,18,68,2-18-68,Round 1: 0.006624511837001209,,Round 1: 0.006624511837001209,,Round 1: 0.006624511837001209,,,AUDITED,"SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ","JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,18,75,2-18-75,Round 1: 0.046423812696829881,,Round 1: 0.046423812696829881,,Round 1: 0.046423812696829881,,,AUDITED,"SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ","JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,18,76,2-18-76,,,,,Round 1: 0.135668866551877554,,,AUDITED,BLANK,,,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,19,1,2-19-2001,Round 1: 0.001067850071313553,,Round 1: 0.001067850071313553,,Round 1: 0.001067850071313553,,,AUDITED,"SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,"CAROL K. OZA, JERI FAYE STOUT, MICHAEL CARRINGTON","CAROL K. OZA, JERI FAYE STOUT, MICHAEL CARRINGTON",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,19,9,2-19-2009,Round 1: 0.060725041557153027,,,,Round 1: 0.060725041557153027,,,AUDITED,"SANDY LUND, PAUL HUETTE, TUSHAR RAMAN OZA","SANDY LUND, PAUL HUETTE, TUSHAR RAMAN OZA",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,"CAROL K. OZA, MICHAEL CARRINGTON, KERRY KOONTZ","CAROL K. OZA, MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,19,30,2-19-30,"Round 1: 0.003310686004704685, 0.023072083483920456",,"Round 1: 0.003310686004704685, 0.023072083483920456",,"Round 1: 0.003310686004704685, 0.023072083483920456",,,AUDITED,BLANK,,,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,19,31,2-19-31,,,,,Round 1: 0.133870090461008953,,,AUDITED,"SANDY LUND, TUSHAR RAMAN OZA","SANDY LUND, TUSHAR RAMAN OZA",,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, MICHAEL CARRINGTON","JERI FAYE STOUT, MICHAEL CARRINGTON",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,19,32,2-19-32,,,,,Round 1: 0.127378115929411066,,,AUDITED,"SANDY LUND, PAUL HUETTE, TUSHAR RAMAN OZA","SANDY LUND, PAUL HUETTE, TUSHAR RAMAN OZA",,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ","JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,19,34,2-19-34,Round 1: 0.045416848876949843,,Round 1: 0.045416848876949843,,Round 1: 0.045416848876949843,,,AUDITED,"SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,"CAROL K. OZA, JERI FAYE STOUT, KERRY KOONTZ","CAROL K. OZA, JERI FAYE STOUT, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,19,80,2-19-80,Round 1: 0.001004779765340882,,Round 1: 0.001004779765340882,,"Round 1: 0.001004779765340882, 0.135548281966043806",,,AUDITED,"SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, KERRY KOONTZ","JERI FAYE STOUT, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,19,86,2-19-86,,,,,Round 1: 0.070348946018371704,,,AUDITED,"SANDY LUND, TUSHAR RAMAN OZA, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, TUSHAR RAMAN OZA, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,"CAROL K. OZA, JERI FAYE STOUT, KERRY KOONTZ","CAROL K. OZA, JERI FAYE STOUT, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,19,93,2-19-93,Round 1: 0.043049123304479262,,Round 1: 0.043049123304479262,,Round 1: 0.043049123304479262,,,AUDITED,"SANDY LUND, PAUL HUETTE","SANDY LUND, PAUL HUETTE",,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ","JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,19,98,2-19-98,Round 1: 0.026772141614301871,,Round 1: 0.026772141614301871,,"Round 1: 0.026772141614301871, 0.098938640680149626",,,AUDITED,"SANDY LUND, PAUL HUETTE","SANDY LUND, PAUL HUETTE",,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,"CAROL K. OZA, KERRY KOONTZ","CAROL K. OZA, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,19,113,2-19-0113,,,,,Round 1: 0.069332152213226170,,,AUDITED,"SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ","JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,19,116,2-19-0116,,,,,Round 1: 0.136684574143498536,,,AUDITED,MICHELLE (SHELLY) A. SNODERLY,MICHELLE (SHELLY) A. SNODERLY,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,MICHAEL CARRINGTON,MICHAEL CARRINGTON,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,19,139,2-19-0139,Round 1: 0.040723506924727057,,Round 1: 0.040723506924727057,,Round 1: 0.040723506924727057,,,AUDITED,"SANDY LUND, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,"CAROL K. OZA, JERI FAYE STOUT","CAROL K. OZA, JERI FAYE STOUT",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,20,4,2-20-2004,,,,,Round 1: 0.125704627439347630,,,AUDITED,"SANDY LUND, PAUL HUETTE, TUSHAR RAMAN OZA","SANDY LUND, PAUL HUETTE, TUSHAR RAMAN OZA",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ","JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,20,12,2-20-12,,,,,Round 1: 0.092008643519273355,,,AUDITED,MICHELLE (SHELLY) A. SNODERLY,MICHELLE (SHELLY) A. SNODERLY,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,MICHAEL CARRINGTON,MICHAEL CARRINGTON,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,20,25,2-20-25,,,,,Round 1: 0.083345781565399902,,,AUDITED,"PAUL HUETTE, TUSHAR RAMAN OZA, MICHELLE (SHELLY) A. SNODERLY","PAUL HUETTE, TUSHAR RAMAN OZA, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,DONALD BRIGHT,DONALD BRIGHT,,CONTEST_NOT_ON_BALLOT,,,JERI FAYE STOUT,JERI FAYE STOUT,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,20,37,2-20-37,,,,,Round 1: 0.116374250994434811,,,AUDITED,PAUL HUETTE,PAUL HUETTE,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,MICHAEL CARRINGTON,MICHAEL CARRINGTON,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,20,38,2-20-38,Round 1: 0.060222315070915338,,,,Round 1: 0.060222315070915338,,,AUDITED,"SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY","SANDY LUND, PAUL HUETTE, MICHELLE (SHELLY) A. SNODERLY",,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,"JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ","JERI FAYE STOUT, MICHAEL CARRINGTON, KERRY KOONTZ",,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,20,50,2-20-50,,,,,Round 1: 0.064687928426551669,,,AUDITED,TUSHAR RAMAN OZA,TUSHAR RAMAN OZA,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,CAROL K. OZA,CAROL K. OZA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,113,2,20,51,2-20-51,,,,,Round 1: 0.069474452295508757,,,AUDITED,SANDY LUND,SANDY LUND,,CONTEST_NOT_ON_BALLOT,,,JEN ROESER,JEN ROESER,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,
